
> weflow-remote-viewer@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://198.18.0.1:3000
- Environments: .env.local
✓ Ready in 17.6s

 GET / 200 in 2.7s (next.js: 1975ms, application-code: 693ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 239ms (next.js: 4ms, application-code: 235ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 231ms (next.js: 2ms, application-code: 228ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 239ms (next.js: 3ms, application-code: 236ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 236ms (next.js: 3ms, application-code: 233ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 230ms (next.js: 5ms, application-code: 225ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 259ms (next.js: 6ms, application-code: 254ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 300ms (next.js: 10ms, application-code: 291ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 1203ms (next.js: 152ms, application-code: 1051ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 229ms (next.js: 2ms, application-code: 227ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 484ms (next.js: 17ms, application-code: 467ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 252ms (next.js: 4ms, application-code: 248ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 228ms (next.js: 3ms, application-code: 225ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 241ms (next.js: 5ms, application-code: 236ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 248ms (next.js: 4ms, application-code: 243ms)
 GET /api/invite/dashboard?tagId=7e96c3ee-f9ac-4b0b-8442-17343bf453fb 200 in 256ms (next.js: 3ms, application-code: 253ms)
