
> weflow-remote-viewer@0.1.0 dev
> next dev --port 3001

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://198.18.0.1:3001
- Environments: .env.local
✓ Ready in 6.5s

 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 426ms (next.js: 4ms, application-code: 422ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 258ms (next.js: 4ms, application-code: 254ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 3.5s (next.js: 3ms, application-code: 3.5s)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 241ms (next.js: 5ms, application-code: 236ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 213ms (next.js: 2ms, application-code: 211ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 225ms (next.js: 3ms, application-code: 222ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 215ms (next.js: 3ms, application-code: 212ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 605ms (next.js: 81ms, application-code: 523ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 264ms (next.js: 6ms, application-code: 259ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 294ms (next.js: 3ms, application-code: 291ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 222ms (next.js: 4ms, application-code: 218ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 251ms (next.js: 2ms, application-code: 249ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 309ms (next.js: 3ms, application-code: 306ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 403ms (next.js: 41ms, application-code: 362ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 222ms (next.js: 3ms, application-code: 219ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 235ms (next.js: 2ms, application-code: 232ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 218ms (next.js: 3ms, application-code: 215ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 253ms (next.js: 2ms, application-code: 251ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 210ms (next.js: 6ms, application-code: 204ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 353ms (next.js: 2ms, application-code: 351ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 205ms (next.js: 3ms, application-code: 202ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 259ms (next.js: 7ms, application-code: 252ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 244ms (next.js: 5ms, application-code: 239ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 371ms (next.js: 3ms, application-code: 368ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 417ms (next.js: 8ms, application-code: 409ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 247ms (next.js: 10ms, application-code: 236ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 240ms (next.js: 4ms, application-code: 236ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 247ms (next.js: 3ms, application-code: 245ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 481ms (next.js: 7ms, application-code: 474ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 7.0s (next.js: 3ms, application-code: 7.0s)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 143ms (next.js: 4ms, application-code: 139ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 249ms (next.js: 4ms, application-code: 246ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 692ms (next.js: 48ms, application-code: 644ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 477ms (next.js: 3ms, application-code: 474ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 218ms (next.js: 5ms, application-code: 213ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 215ms (next.js: 2ms, application-code: 213ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 251ms (next.js: 5ms, application-code: 245ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 230ms (next.js: 3ms, application-code: 227ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 484ms (next.js: 3ms, application-code: 480ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 222ms (next.js: 2ms, application-code: 219ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 262ms (next.js: 9ms, application-code: 254ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 231ms (next.js: 3ms, application-code: 228ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 237ms (next.js: 9ms, application-code: 228ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 251ms (next.js: 5ms, application-code: 246ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 278ms (next.js: 10ms, application-code: 267ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 273ms (next.js: 5ms, application-code: 267ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 251ms (next.js: 5ms, application-code: 246ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 208ms (next.js: 3ms, application-code: 205ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 252ms (next.js: 3ms, application-code: 249ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 258ms (next.js: 3ms, application-code: 255ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 369ms (next.js: 52ms, application-code: 317ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 210ms (next.js: 3ms, application-code: 206ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 1322ms (next.js: 173ms, application-code: 1149ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 221ms (next.js: 3ms, application-code: 218ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 397ms (next.js: 4ms, application-code: 392ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 1117ms (next.js: 95ms, application-code: 1022ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 345ms (next.js: 3ms, application-code: 342ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 405ms (next.js: 3ms, application-code: 403ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 555ms (next.js: 31ms, application-code: 523ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 242ms (next.js: 5ms, application-code: 238ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 232ms (next.js: 3ms, application-code: 229ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 293ms (next.js: 4ms, application-code: 290ms)
 GET /api/invite/dashboard?tagId=89d05ff6-d58d-4a38-9939-f6683e5dde7f 200 in 438ms (next.js: 2ms, application-code: 436ms)
